FactID,GeografiaID,EstudianteID,TiempoID,TotalPrompts,SessionLengthMin,NumeroSesiones,ConsumoAguaEstimado,FactorConsumoLitros
117,15,7,148,4,18.01,1,2.0,0.5
118,10,15,60,4,22.8,1,2.0,0.5
119,13,17,110,5,15.91,1,2.5,0.5
120,19,20,133,9,20.93,1,4.5,0.5
121,7,19,331,7,33.88,1,3.5,0.5
122,17,8,161,3,7.12,1,1.5,0.5
123,20,18,29,4,19.37,1,2.0,0.5
124,4,20,207,4,16.79,1,2.0,0.5
125,5,1,142,3,13.61,1,1.5,0.5
126,7,20,30,5,19.28,1,2.5,0.5
127,13,1,194,4,16.64,1,2.0,0.5
128,15,21,120,4,18.61,1,2.0,0.5
129,11,10,287,4,14.37,1,2.0,0.5
130,4,21,117,1,3.6,1,0.5,0.5
131,13,19,159,7,37.72,1,3.5,0.5
132,7,20,9,2,8.05,1,1.0,0.5
133,19,21,11,5,20.21,1,2.5,0.5
134,2,7,111,3,14.06,1,1.5,0.5
135,10,17,128,4,15.82,1,2.0,0.5
136,13,10,72,2,6.97,1,1.0,0.5
137,6,16,277,1,2.54,1,0.5,0.5
138,12,7,37,4,10.73,1,2.0,0.5
139,12,16,338,4,18.37,1,2.0,0.5
140,20,6,54,2,8.62,1,1.0,0.5
141,11,17,362,11,23.52,1,5.5,0.5
142,7,19,204,5,20.13,1,2.5,0.5
143,1,5,235,4,15.46,1,2.0,0.5
144,1,19,233,6,14.86,1,3.0,0.5
145,20,3,331,6,18.14,1,3.0,0.5
146,13,9,39,7,16.64,1,3.5,0.5
147,9,20,141,6,31.16,1,3.0,0.5
148,3,18,45,3,11.21,1,1.5,0.5
149,7,21,37,2,10.41,1,1.0,0.5
150,6,20,103,6,26.97,1,3.0,0.5
151,8,10,299,10,22.46,1,5.0,0.5
152,9,7,130,2,7.53,1,1.0,0.5
153,5,1,124,3,14.95,1,1.5,0.5
154,1,18,346,5,15.7,1,2.5,0.5
155,19,3,49,8,25.73,1,4.0,0.5
156,10,16,71,3,7.61,1,1.5,0.5
157,12,16,224,6,20.22,1,3.0,0.5
158,15,16,83,3,14.04,1,1.5,0.5
159,9,3,227,4,12.47,1,2.0,0.5
160,20,18,311,1,6.51,1,0.5,0.5
161,17,16,31,4,11.77,1,2.0,0.5
162,17,19,90,2,13.1,1,1.0,0.5
163,20,7,20,1,3.22,1,0.5,0.5
164,12,11,108,2,11.77,1,1.0,0.5
165,7,10,121,1,8.04,1,0.5,0.5
166,2,9,327,1,8.32,1,0.5,0.5
167,3,10,296,3,11.18,1,1.5,0.5
168,17,20,214,9,40.08,1,4.5,0.5
169,5,18,294,2,8.02,1,1.0,0.5
170,17,17,211,1,6.85,1,0.5,0.5
171,17,16,355,5,24.99,1,2.5,0.5
172,17,18,334,1,1.2,1,0.5,0.5
173,2,18,31,8,21.11,1,4.0,0.5
174,2,13,316,3,13.04,1,1.5,0.5
175,5,18,277,7,20.31,1,3.5,0.5
176,1,21,214,3,16.66,1,1.5,0.5
177,1,16,364,2,13.47,1,1.0,0.5
178,19,15,225,2,9.27,1,1.0,0.5
179,2,18,338,2,11.43,1,1.0,0.5
180,12,7,269,8,19.55,1,4.0,0.5
181,6,17,213,2,8.34,1,1.0,0.5
182,4,17,116,1,3.55,1,0.5,0.5
183,11,21,352,3,9.93,1,1.5,0.5
184,17,9,215,1,3.64,1,0.5,0.5
185,6,16,256,8,38.8,1,4.0,0.5
186,5,14,116,2,8.9,1,1.0,0.5
187,20,16,40,4,20.62,1,2.0,0.5
188,2,1,348,6,27.27,1,3.0,0.5
189,6,15,157,19,39.67,1,9.5,0.5
190,11,13,293,3,9.45,1,1.5,0.5
191,16,17,362,2,13.43,1,1.0,0.5
192,16,17,16,3,11.71,1,1.5,0.5
193,1,3,122,5,16.22,1,2.5,0.5
194,9,15,357,4,19.03,1,2.0,0.5
195,6,17,341,4,10.37,1,2.0,0.5
196,16,16,164,14,37.05,1,7.0,0.5
197,3,16,37,5,26.61,1,2.5,0.5
198,20,17,256,25,72.82,1,12.5,0.5
199,4,3,130,5,24.43,1,2.5,0.5
200,19,16,105,4,15.52,1,2.0,0.5
201,3,2,288,1,1.68,1,0.5,0.5
202,19,3,21,2,13.99,1,1.0,0.5
203,20,19,54,6,23.58,1,3.0,0.5
204,7,8,27,6,19.3,1,3.0,0.5
205,20,8,37,6,31.13,1,3.0,0.5
206,9,7,229,4,14.96,1,2.0,0.5
207,1,16,2,17,47.16,1,8.5,0.5
208,8,15,42,1,4.48,1,0.5,0.5
209,7,18,347,9,39.95,1,4.5,0.5
210,18,19,186,10,48.04,1,5.0,0.5
211,8,20,17,3,7.55,1,1.5,0.5
212,1,11,183,5,20.2,1,2.5,0.5
213,11,21,315,7,20.35,1,3.5,0.5
214,18,17,141,31,84.15,1,15.5,0.5
215,10,16,158,4,10.54,1,2.0,0.5
216,3,12,211,1,5.76,1,0.5,0.5
217,7,18,42,3,10.93,1,1.5,0.5
218,16,15,103,2,11.12,1,1.0,0.5
219,16,21,62,12,43.1,1,6.0,0.5
220,20,6,230,1,5.18,1,0.5,0.5
221,17,2,365,6,23.58,1,3.0,0.5
222,2,18,218,11,30.16,1,5.5,0.5
223,1,15,348,5,17.16,1,2.5,0.5
224,16,12,309,6,24.37,1,3.0,0.5
225,12,4,97,5,15.24,1,2.5,0.5
226,5,1,32,11,44.81,1,5.5,0.5
227,5,12,130,8,18.58,1,4.0,0.5
228,9,6,66,3,11.51,1,1.5,0.5
229,9,2,72,17,62.93,1,8.5,0.5
230,3,17,252,7,33.3,1,3.5,0.5
231,19,7,357,8,18.47,1,4.0,0.5
232,16,21,221,20,46.97,1,10.0,0.5
233,16,16,273,4,16.77,1,2.0,0.5
234,3,12,337,3,15.87,1,1.5,0.5
235,20,21,41,7,15.21,1,3.5,0.5
236,1,17,245,10,33.03,1,5.0,0.5
237,20,21,316,10,28.1,1,5.0,0.5
238,11,16,7,4,10.52,1,2.0,0.5
239,17,6,183,8,39.41,1,4.0,0.5
240,8,21,85,4,8.87,1,2.0,0.5
241,4,18,284,13,28.1,1,6.5,0.5
242,6,1,276,2,5.57,1,1.0,0.5
243,8,16,50,2,4.8,1,1.0,0.5
244,20,17,66,3,10.72,1,1.5,0.5
245,3,18,287,5,20.1,1,2.5,0.5
246,16,15,320,4,9.18,1,2.0,0.5
247,3,1,336,7,17.91,1,3.5,0.5
248,18,2,266,4,17.27,1,2.0,0.5
249,14,12,198,6,22.81,1,3.0,0.5
250,18,15,93,5,27.42,1,2.5,0.5
251,2,19,159,4,13.08,1,2.0,0.5
252,3,19,3,6,25.74,1,3.0,0.5
253,16,1,265,4,11.92,1,2.0,0.5
254,9,2,204,6,23.44,1,3.0,0.5
255,4,20,340,7,19.44,1,3.5,0.5
256,1,16,107,2,12.1,1,1.0,0.5
257,4,17,224,11,32.53,1,5.5,0.5
258,1,7,309,4,11.69,1,2.0,0.5
259,14,14,284,9,36.98,1,4.5,0.5
260,16,15,302,1,5.58,1,0.5,0.5
261,20,5,327,6,27.09,1,3.0,0.5
262,8,3,73,4,10.34,1,2.0,0.5
263,7,15,192,21,67.56,1,10.5,0.5
264,3,20,213,6,17.13,1,3.0,0.5
265,17,18,93,1,3.64,1,0.5,0.5
266,1,20,24,4,12.54,1,2.0,0.5
267,16,17,167,1,2.32,1,0.5,0.5
268,12,18,82,2,10.81,1,1.0,0.5
269,19,17,239,5,20.42,1,2.5,0.5
270,14,10,259,3,16.65,1,1.5,0.5
271,6,3,151,11,37.77,1,5.5,0.5
272,6,7,75,1,2.61,1,0.5,0.5
273,13,12,321,4,9.13,1,2.0,0.5
274,19,18,205,3,8.67,1,1.5,0.5
275,8,17,114,1,5.8,1,0.5,0.5
276,2,19,134,6,13.93,1,3.0,0.5
277,1,1,53,1,7.68,1,0.5,0.5
278,15,8,158,13,35.9,1,6.5,0.5
279,1,15,230,12,33.35,1,6.0,0.5
280,5,19,160,4,11.31,1,2.0,0.5
281,16,21,354,1,6.85,1,0.5,0.5
282,19,18,225,10,46.75,1,5.0,0.5
283,4,6,112,7,30.02,1,3.5,0.5
284,3,4,105,6,25.69,1,3.0,0.5
285,17,10,97,9,32.81,1,4.5,0.5
286,17,19,240,5,16.3,1,2.5,0.5
287,12,3,333,1,6.57,1,0.5,0.5
288,14,15,346,3,14.75,1,1.5,0.5
289,6,15,49,8,28.55,1,4.0,0.5
290,3,10,275,15,33.99,1,7.5,0.5
291,9,8,164,7,26.87,1,3.5,0.5
292,5,13,100,3,16.5,1,1.5,0.5
293,17,8,252,8,32.25,1,4.0,0.5
294,14,8,236,14,47.14,1,7.0,0.5
295,3,15,194,17,51.31,1,8.5,0.5
296,1,20,1,1,7.44,1,0.5,0.5
297,20,19,45,1,5.22,1,0.5,0.5
298,1,21,158,5,21.84,1,2.5,0.5
299,3,13,230,3,16.6,1,1.5,0.5
300,18,15,75,3,15.18,1,1.5,0.5
301,10,15,291,2,7.5,1,1.0,0.5
302,3,14,99,6,26.34,1,3.0,0.5
303,8,15,269,1,5.5,1,0.5,0.5
304,14,20,50,3,11.76,1,1.5,0.5
305,18,21,224,10,25.46,1,5.0,0.5
306,15,13,72,2,9.37,1,1.0,0.5
307,2,2,317,2,7.17,1,1.0,0.5
308,10,11,249,1,5.81,1,0.5,0.5
309,2,9,226,13,35.62,1,6.5,0.5
310,17,16,47,3,16.58,1,1.5,0.5
311,8,17,261,1,3.82,1,0.5,0.5
312,1,8,97,2,5.55,1,1.0,0.5
313,9,4,52,12,33.36,1,6.0,0.5
314,11,19,277,2,9.81,1,1.0,0.5
315,16,12,16,15,47.09,1,7.5,0.5
316,7,17,90,8,16.69,1,4.0,0.5
317,10,19,98,10,31.75,1,5.0,0.5
318,3,1,290,1,3.3,1,0.5,0.5
319,18,15,19,1,6.4,1,0.5,0.5
320,13,19,284,1,4.74,1,0.5,0.5
321,7,7,29,3,10.98,1,1.5,0.5
322,4,16,266,2,7.29,1,1.0,0.5
323,13,4,154,10,32.5,1,5.0,0.5
324,20,4,52,2,14.26,1,1.0,0.5
325,1,21,85,1,4.1,1,0.5,0.5
326,8,16,108,1,2.85,1,0.5,0.5
327,14,8,44,6,19.02,1,3.0,0.5
328,16,14,224,4,16.06,1,2.0,0.5
329,14,3,2,5,25.85,1,2.5,0.5
330,12,10,254,14,40.09,1,7.0,0.5
331,19,14,82,11,43.18,1,5.5,0.5
332,15,16,279,5,20.72,1,2.5,0.5
333,2,2,44,12,32.63,1,6.0,0.5
334,2,5,323,8,25.56,1,4.0,0.5
335,19,19,271,3,16.77,1,1.5,0.5
336,17,20,6,3,11.91,1,1.5,0.5
337,20,17,161,9,41.87,1,4.5,0.5
338,10,18,42,9,39.77,1,4.5,0.5
339,6,1,133,9,33.45,1,4.5,0.5
340,15,16,81,5,23.0,1,2.5,0.5
341,11,18,174,3,15.82,1,1.5,0.5
342,5,16,57,2,10.32,1,1.0,0.5
343,1,16,58,6,15.62,1,3.0,0.5
344,8,13,282,4,19.67,1,2.0,0.5
345,12,20,252,3,12.47,1,1.5,0.5
346,12,7,306,8,36.36,1,4.0,0.5
347,5,8,48,3,10.01,1,1.5,0.5
348,7,17,338,4,15.63,1,2.0,0.5
349,4,19,144,1,7.9,1,0.5,0.5
350,6,16,127,1,0.03,1,0.5,0.5
351,13,17,160,3,11.89,1,1.5,0.5
352,20,8,148,9,20.59,1,4.5,0.5
353,15,19,257,1,7.79,1,0.5,0.5
354,3,9,202,4,14.18,1,2.0,0.5
355,8,9,265,4,13.67,1,2.0,0.5
356,20,21,107,8,22.26,1,4.0,0.5
357,16,15,173,1,5.67,1,0.5,0.5
358,13,18,258,1,9.04,1,0.5,0.5
359,18,12,79,8,39.09,1,4.0,0.5
360,10,21,334,5,24.22,1,2.5,0.5
361,19,20,247,3,10.69,1,1.5,0.5
362,17,19,57,3,10.15,1,1.5,0.5
363,19,16,81,5,19.26,1,2.5,0.5
364,5,21,152,2,7.04,1,1.0,0.5
365,9,20,138,3,14.84,1,1.5,0.5
366,12,20,74,2,9.61,1,1.0,0.5
367,1,17,338,6,14.03,1,3.0,0.5
368,1,14,259,1,4.78,1,0.5,0.5
369,15,21,334,3,12.03,1,1.5,0.5
370,2,5,258,1,0.94,1,0.5,0.5
371,16,20,95,3,7.55,1,1.5,0.5
372,8,18,191,2,11.97,1,1.0,0.5
373,13,15,190,4,21.68,1,2.0,0.5
374,1,20,107,1,3.93,1,0.5,0.5
375,16,16,170,1,3.32,1,0.5,0.5
376,7,8,20,3,13.91,1,1.5,0.5
377,5,4,98,1,8.47,1,0.5,0.5
378,3,16,2,2,6.53,1,1.0,0.5
379,12,4,169,6,30.96,1,3.0,0.5
380,16,20,181,5,17.85,1,2.5,0.5
381,19,21,62,6,31.31,1,3.0,0.5
382,5,6,24,8,18.08,1,4.0,0.5
383,14,9,304,3,9.85,1,1.5,0.5
384,5,7,346,10,33.06,1,5.0,0.5
385,15,21,324,9,40.6,1,4.5,0.5
386,17,13,24,2,11.01,1,1.0,0.5
387,14,18,291,4,10.49,1,2.0,0.5
388,20,19,179,4,17.66,1,2.0,0.5
389,5,16,204,18,61.31,1,9.0,0.5
390,12,19,113,6,28.8,1,3.0,0.5
391,16,20,80,1,3.53,1,0.5,0.5
392,16,18,161,4,12.87,1,2.0,0.5
393,7,4,43,1,3.54,1,0.5,0.5
394,4,21,343,2,6.99,1,1.0,0.5
395,1,8,112,5,23.69,1,2.5,0.5
396,5,8,55,12,28.33,1,6.0,0.5
397,10,12,111,5,22.81,1,2.5,0.5
398,5,16,109,5,12.61,1,2.5,0.5
399,4,8,69,1,5.02,1,0.5,0.5
400,2,5,166,7,35.16,1,3.5,0.5
401,20,1,299,9,20.06,1,4.5,0.5
402,10,18,6,2,7.0,1,1.0,0.5
403,19,5,184,3,15.1,1,1.5,0.5
404,1,5,306,6,24.65,1,3.0,0.5
405,5,15,297,3,17.26,1,1.5,0.5
406,13,1,206,2,5.97,1,1.0,0.5
407,4,19,26,11,51.62,1,5.5,0.5
408,16,4,228,1,3.38,1,0.5,0.5
409,16,18,177,4,10.12,1,2.0,0.5
410,2,18,136,4,12.91,1,2.0,0.5
411,17,5,118,2,7.62,1,1.0,0.5
412,20,16,251,5,15.6,1,2.5,0.5
413,12,19,88,3,17.95,1,1.5,0.5
414,18,9,175,17,62.76,1,8.5,0.5
415,3,18,79,1,8.1,1,0.5,0.5
416,1,21,268,1,7.89,1,0.5,0.5
417,1,15,336,1,9.01,1,0.5,0.5
418,19,11,108,6,28.71,1,3.0,0.5
419,11,14,327,6,25.06,1,3.0,0.5
420,5,1,186,3,12.02,1,1.5,0.5
421,12,20,152,1,3.64,1,0.5,0.5
422,3,15,105,20,41.64,1,10.0,0.5
423,1,19,63,8,29.96,1,4.0,0.5
424,1,20,187,12,40.96,1,6.0,0.5
425,8,11,86,6,19.56,1,3.0,0.5
426,10,4,171,6,21.57,1,3.0,0.5
427,11,2,352,5,11.4,1,2.5,0.5
428,12,15,52,6,33.76,1,3.0,0.5
429,13,2,7,28,68.09,1,14.0,0.5
430,12,2,304,31,92.76,1,15.5,0.5
431,14,20,92,3,16.97,1,1.5,0.5
432,2,16,251,1,7.47,1,0.5,0.5
433,19,10,189,7,27.61,1,3.5,0.5
434,18,19,150,6,20.6,1,3.0,0.5
435,3,7,86,4,17.54,1,2.0,0.5
436,17,17,215,15,31.93,1,7.5,0.5
437,8,14,198,9,26.93,1,4.5,0.5
438,10,3,250,4,20.33,1,2.0,0.5
439,2,10,363,2,11.36,1,1.0,0.5
440,19,17,57,1,7.84,1,0.5,0.5
441,9,21,43,8,20.59,1,4.0,0.5
442,7,20,104,7,18.72,1,3.5,0.5
443,4,4,281,8,18.87,1,4.0,0.5
444,18,17,145,2,11.1,1,1.0,0.5
445,13,20,203,1,1.4,1,0.5,0.5
446,11,18,99,1,1.25,1,0.5,0.5
447,4,21,268,6,23.69,1,3.0,0.5
448,4,18,39,6,27.31,1,3.0,0.5
449,10,21,106,1,4.03,1,0.5,0.5
450,5,16,335,4,19.75,1,2.0,0.5
451,9,18,256,4,11.61,1,2.0,0.5
452,3,1,201,10,22.5,1,5.0,0.5
453,17,18,311,9,22.48,1,4.5,0.5
454,3,18,121,2,8.93,1,1.0,0.5
455,16,11,290,1,5.1,1,0.5,0.5
456,4,7,157,14,31.16,1,7.0,0.5
457,18,6,8,2,13.58,1,1.0,0.5
458,17,6,25,4,17.76,1,2.0,0.5
459,7,4,221,1,6.17,1,0.5,0.5
460,5,1,344,4,21.22,1,2.0,0.5
461,12,16,42,4,11.57,1,2.0,0.5
462,17,7,94,14,30.38,1,7.0,0.5
463,13,19,350,20,47.81,1,10.0,0.5
464,3,19,110,4,13.14,1,2.0,0.5
465,9,13,98,1,1.38,1,0.5,0.5
466,17,20,315,8,36.05,1,4.0,0.5
467,17,19,95,1,0.94,1,0.5,0.5
468,20,19,295,4,17.44,1,2.0,0.5
469,16,1,260,4,14.24,1,2.0,0.5
470,13,11,362,1,5.23,1,0.5,0.5
471,19,21,216,3,11.23,1,1.5,0.5
472,17,16,333,3,17.09,1,1.5,0.5
473,4,16,239,4,24.63,1,2.0,0.5
474,12,17,224,1,4.78,1,0.5,0.5
475,9,5,311,4,18.57,1,2.0,0.5
476,19,16,360,2,8.41,1,1.0,0.5
477,12,2,206,1,4.79,1,0.5,0.5
478,9,18,359,1,3.51,1,0.5,0.5
479,7,20,72,3,13.31,1,1.5,0.5
480,14,18,244,2,10.77,1,1.0,0.5
481,20,9,194,2,5.43,1,1.0,0.5
482,19,1,206,6,17.2,1,3.0,0.5
483,15,5,2,2,11.35,1,1.0,0.5
484,16,4,58,13,48.43,1,6.5,0.5
485,5,6,8,4,20.67,1,2.0,0.5
486,3,5,128,4,19.91,1,2.0,0.5
487,12,15,299,1,6.9,1,0.5,0.5
488,20,16,268,12,50.52,1,6.0,0.5
489,4,14,299,8,41.71,1,4.0,0.5
490,16,18,216,4,17.68,1,2.0,0.5
491,7,17,164,6,16.15,1,3.0,0.5
492,13,18,221,3,14.78,1,1.5,0.5
493,10,7,133,2,8.91,1,1.0,0.5
494,7,19,1,1,6.15,1,0.5,0.5
495,14,16,187,2,12.57,1,1.0,0.5
496,5,9,76,11,27.04,1,5.5,0.5
497,3,17,73,5,19.51,1,2.5,0.5
498,11,20,43,6,22.96,1,3.0,0.5
499,11,20,285,5,16.77,1,2.5,0.5
500,18,8,119,4,21.51,1,2.0,0.5
501,15,18,280,2,10.67,1,1.0,0.5
502,12,12,297,23,51.13,1,11.5,0.5
503,9,2,165,1,3.08,1,0.5,0.5
504,10,11,98,5,29.54,1,2.5,0.5
505,12,18,271,1,0.8,1,0.5,0.5
506,17,19,313,18,61.64,1,9.0,0.5
507,6,19,106,6,15.56,1,3.0,0.5
508,7,21,228,1,1.73,1,0.5,0.5
509,14,17,78,4,13.74,1,2.0,0.5
510,13,18,245,7,27.71,1,3.5,0.5
511,8,2,157,1,1.31,1,0.5,0.5
512,10,17,261,1,8.25,1,0.5,0.5
513,9,18,327,10,26.85,1,5.0,0.5
514,18,10,234,4,14.84,1,2.0,0.5
515,2,15,220,6,19.17,1,3.0,0.5
516,5,21,220,11,39.56,1,5.5,0.5
517,5,4,139,5,20.67,1,2.5,0.5
518,6,13,38,4,18.52,1,2.0,0.5
519,19,20,148,10,50.57,1,5.0,0.5
520,8,18,184,17,37.23,1,8.5,0.5
521,16,6,243,4,16.01,1,2.0,0.5
522,13,1,77,13,53.5,1,6.5,0.5
523,1,21,346,4,9.99,1,2.0,0.5
524,20,15,96,5,20.51,1,2.5,0.5
525,17,16,127,3,9.6,1,1.5,0.5
526,7,5,18,5,10.48,1,2.5,0.5
527,13,8,334,4,9.91,1,2.0,0.5
528,4,18,131,4,21.64,1,2.0,0.5
529,4,6,139,3,16.81,1,1.5,0.5
530,6,10,184,10,25.33,1,5.0,0.5
531,19,20,295,1,9.27,1,0.5,0.5
532,12,17,94,6,16.51,1,3.0,0.5
533,7,16,207,4,15.14,1,2.0,0.5
534,10,15,130,5,24.39,1,2.5,0.5
535,19,15,192,5,19.41,1,2.5,0.5
536,7,20,89,1,5.73,1,0.5,0.5
537,3,1,168,4,19.34,1,2.0,0.5
538,13,7,219,4,19.18,1,2.0,0.5
539,13,3,7,3,16.35,1,1.5,0.5
540,18,10,268,2,12.42,1,1.0,0.5
541,20,6,30,5,12.5,1,2.5,0.5
542,8,10,41,2,7.83,1,1.0,0.5
543,9,20,220,4,21.31,1,2.0,0.5
544,7,16,348,1,3.01,1,0.5,0.5
545,1,1,54,3,10.54,1,1.5,0.5
546,3,15,90,1,5.27,1,0.5,0.5
547,13,20,160,3,16.64,1,1.5,0.5
548,17,8,337,1,5.41,1,0.5,0.5
549,1,3,18,6,18.22,1,3.0,0.5
550,6,5,80,8,27.69,1,4.0,0.5
551,6,8,182,5,20.9,1,2.5,0.5
552,12,20,161,10,24.11,1,5.0,0.5
553,13,18,208,3,13.43,1,1.5,0.5
554,13,6,287,1,4.17,1,0.5,0.5
555,15,9,29,7,30.91,1,3.5,0.5
556,16,12,40,2,8.18,1,1.0,0.5
557,11,20,265,13,38.64,1,6.5,0.5
558,5,7,214,4,12.71,1,2.0,0.5
559,4,17,172,3,18.26,1,1.5,0.5
560,3,3,280,3,7.68,1,1.5,0.5
561,19,5,53,2,5.43,1,1.0,0.5
562,20,5,86,2,9.99,1,1.0,0.5
563,18,17,287,19,52.35,1,9.5,0.5
564,15,21,84,4,11.29,1,2.0,0.5
565,9,8,85,31,66.27,1,15.5,0.5
566,17,9,145,1,5.4,1,0.5,0.5
567,14,10,38,5,21.48,1,2.5,0.5
568,15,12,15,3,12.83,1,1.5,0.5
569,1,17,100,6,12.97,1,3.0,0.5
570,3,20,5,7,22.68,1,3.5,0.5
571,16,17,357,2,9.19,1,1.0,0.5
572,11,18,229,3,11.11,1,1.5,0.5
573,12,1,159,2,11.88,1,1.0,0.5
574,10,19,47,7,32.02,1,3.5,0.5
575,16,19,109,3,13.64,1,1.5,0.5
576,8,21,250,6,14.73,1,3.0,0.5
577,6,19,229,15,40.37,1,7.5,0.5
